id,production_companies
309887,Silver Nitrate
302429,Lucasfilm
302429,Touchstone Pictures
253331,Treehouse Pictures
293771,Di Bonaventura Pictures
293771,Contradiction Films
293771,Dead Rising Productions
293771,Legendary Digital Media
323373,The New Zealand Film Commission
323373,Timpson Films
323373,MPI Media Group
323373,Metalheads
323027,DC Comics
323027,Warner Bros. Animation
297806,Bron Studios
297806,RatPac Entertainment
253626,Voltage Pictures
253626,Sobini Films
253626,Dune Films
354251,Willowbrook Regent Films
329637,ST Renegades
257444,Chiller Films
257444,SpectreVision
355338,Walt Disney Pictures
355338,Pixar Animation Studios
271736,StudioCanal
271736,Working Title Films
309581,A&E Television Networks
309581,ChickFlick Productions
309581,Lifetime Productions
293970,Groundswell Productions
293970,Ulterior Productions
293970,Studio Solutions
279690,Alternate Ending Studios
279690,108 Media
364067,American Zoetrope
364067,South Beach Productions
364067,Departed Productions
318922,Altitude Film Entertainment
318922,AI-Film
318922,Unigram
335077,Mr.Monster
266639,Universal Pictures
266639,Blumhouse Productions
266639,Hasbro Studios
266639,Allspark Pictures
274504,RabbitBandini Productions
274504,Windowseat Films
244316,Purple Pictures
244316,Paul Schiff Productions
244316,Indomitable Entertainment
352208,Dog Eat Dog Films
352208,IMG Films
283587,Participant Media
283587,Focus Features
283587,Red Crown Productions
311539,Copperheart Entertainment
277713,Iris productions
277713,Hurricane Films
277713,SellOutPictures
347945,Pop Films
347945,Soapbox Films
363483,NO_DATA
344854,Kojo Pictures
344854,Lightning Entertainment
344854,Screen Australia
344854,ProdigyMovies
344854,IFC Midnight
234212,Icon Entertainment International
234212,Dimension Films
234212,First Point Entertainment
234212,IM Global
354220,NO_DATA
283596,Sigma Films Ltd.
283596,Trinity Works Entertainment
283596,Latitude Media
250225,Pioneer Pictures
250225,Rook Films
307479,WANGO Films
339145,Varient Busted Buggy Entertainmen
323660,The Asylum
308638,Ealing Studios
308638,Electric Dynamite
308638,Rip Cord Productions
308638,Londinium Films
359983,Walt Disney Television Animation
300155,Ecosse Films
300155,Scope Pictures
300155,Filmgate Films
328595,Fox Digital Studios
327528,New Real Films
327528,Lumanity Production
329540,WWE Studios
306964,Epic Pictures Group
306964,Film Entertainment Services
360387,ETA films
362185,Status Media & Entertainment
362185,DV3 Productions
362185,The Forgery
362185,GA2 Productions
94365,Six Entertainment
241855,XYZ Films
322518,Darius Films
291272,Dark Sky Films
291272,Snowfort Pictures
324963,Mattel Playground Productions
342927,The Asylum
342927,Syfy
361159,Hollywood Media Bridge
361159,Throne Productions
365805,IW Wrecker Productions
351964,Skyhook Productions
351964,Cloverhill Pictures
351964,Perspective Productions
362057,Blumhouse Productions
362057,The Safran Company
362057,Temple Hill Entertainment
137333,Accelerated Matter
317198,Muse Entertainment Enterprises
57876,Insurge Pictures
339533,The Asylum
277546,Paper Street Films
277546,Back Lot Pictures
277546,KGB Media
308457,NO_DATA
306482,Warp Films Australia
306482,Animal Kingdom
306482,Carver Films
362105,EveryWhere Studios
245846,Worldview Entertainment
330112,Head Gear Films
330112,Metrol Technology
330112,Langley Park Productions
322766,Sony Pictures Television
322766,Silver Screen Pictures
361931,On The Corner Films
361931,"We Came, We Saw, We Conquered Studios"
318224,Jigsaw Productions
318224,HBO Documentary Films
318224,Sky Atlantic
309503,Protozoa Pictures
309503,Cargo Entertainment
309503,33 Pictures
348811,VMI Worldwide
348811,Verdi Productions
348811,Schuetzle Company Productions
348811,The Fyzz Facility
310135,Epic Pictures Group
310135,Timpson Films
310135,EMA Films
355111,Mattel
335866,Votiv Films
335866,Taggart Productions
295592,Disneynature
335970,Happy Madison Productions
366142,Illumination Entertainment
310121,Northern Lights Films
310121,Jeff Rice Films
310121,Two Flints
361263,Sony Pictures Television
324308,Magnolia Pictures
324308,Jigsaw Productions
324308,CNN Films
326923,Johnson Production Group
326923,Shadowland
356842,BBC Films
356842,Kreo Films FZ
356842,Cuba Pictures
356842,Tigerlily Films
339530,Universal 1440 Entertainment
331190,Itaca Films
331190,BN Films
331190,Brightside Entertainment
331190,1019 Entertainment
331190,Yoruba Saxon Productions
301729,Storm Vision Entertainment
395883,Ambi Pictures
356300,Neophyte Productions
218784,Columbia Pictures
218784,Sony Pictures Entertainment
310137,Dark Factory Entertainment
342917,Warner Bros. Animation
79698,Corsan
79698,Bliss Media
79698,Limelight International Media Entertainment
79698,Neelmudra Entertainment
79698,Aristos Films
337960,Goalpost Pictures
296130,Dark Dunes Productions
296130,Studio ADI
327418,Warner Bros. Animation
246133,The Made Bed Productions
246133,Nomadic Independence Pictures
246133,Jagjaguwar
328869,Bron Studios
308032,Abandon Pictures
308032,Sandbar Pictures
308032,Coup d'Etat Films
329829,Starhaus Filmproduktion
329829,Anagram Produktion
329829,Galafilm Productions
329829,Triptych Media
329829,Marianna Films
330544,The Zanuck Company
330544,Flavor Unit Entertainment
330544,HBO Films
299551,The Safran Company
299551,Poznan Film Group
207270,Tall Man Films
207270,Atlantic Picture Company
207270,Sunny Day Media
307946,Egoli Tossell Film
307946,Koppelman/Levien
356905,WTFN Entertainment
356905,Kmunications
318279,NO_DATA
345637,Pixar Animation Studios
284286,Broad Green Pictures
284286,Lavender Pictures
340816,Unstuck
206197,NO_DATA
331446,The Asylum
351901,WWE Studios
357681,First Movie Companie
333657,Radar Pictures
333657,2B Films
336845,Lifetime Network
336845,Sony Pictures Television
336845,Woodridge Productions
343795,Emmett/Furla Films
343795,Giving Films
294562,Cinetel Films
306197,NO_DATA
297556,DC Comics
297556,Warner Bros. Feature Animation
354743,Hartswood Films
354743,Serena Cullen Productions
157422,After Dark Films
